,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3,membrane
188,APM-hyp_4,9,9,19,1.9,80,280,,,,,,,APM-hyp
189,APM-hyp_4,10,9,15,1.5,159,116,,,,,,,APM-hyp
190,APM-hyp_4,11,9,9,0.9,282,217,,,,,,,APM-hyp
191,APM-hyp_4,12,9,35,3.5,88,132,,,,,,,APM-hyp
192,APM-hyp_4,13,9,9,0.9,153,105,,,,,,,APM-hyp
193,APM-hyp_4,14,9,21,2.1,204,263,,,,,,,APM-hyp
194,APM-hyp_4,15,9,20,2.0,166,143,,,,,,,APM-hyp
195,APM-hyp_4,16,9,29,2.9,195,285,271.0,162.0,,,,,APM-hyp
196,APM-hyp_4,17,9,16,1.6,49,195,49.0,90.0,,,,,APM-hyp
197,APM-hyp_4,18,9,29,2.9,50,130,,,,,,,APM-hyp
198,APM-hyp_4,19,9,13,1.3,87,265,,,,,,,APM-hyp
199,APM-hyp_4,20,9,43,4.3,175,177,,,,,,,APM-hyp
200,APM-hyp_4,21,9,19,1.9,294,214,,,,,,,APM-hyp
201,APM-hyp_4,22,9,43,4.3,53,204,153.0,178.0,,,,,APM-hyp
202,APM-hyp_4,23,9,33,3.3,172,171,,,,,,,APM-hyp
203,APM-hyp_4,24,9,40,4.0,96,122,260.0,287.0,95.0,215.0,,,APM-hyp
204,APM-hyp_4,25,9,21,2.1,263,161,255.0,161.0,,,,,APM-hyp
205,APM-hyp_4,26,9,23,2.3,258,295,,,,,,,APM-hyp
206,APM-hyp_4,27,9,19,1.9,8,38,,,,,,,APM-hyp
207,APM-hyp_4,28,9,13,1.3,60,125,,,,,,,APM-hyp
208,APM-hyp_4,29,9,14,1.4,13,14,,,,,,,APM-hyp
209,APM-hyp_4,30,9,20,2.0,4,142,,,,,,,APM-hyp
210,APM-hyp_4,31,9,32,3.2,251,295,,,,,,,APM-hyp
211,APM-hyp_4,32,9,13,1.3,51,209,,,,,,,APM-hyp
212,APM-hyp_4,33,9,37,3.7,3,239,,,,,,,APM-hyp
213,APM-hyp_4,34,9,21,2.1,185,176,,,,,,,APM-hyp
214,APM-hyp_4,35,9,29,2.9,225,81,170.0,117.0,,,,,APM-hyp
215,APM-hyp_4,36,9,22,2.2,91,271,,,,,,,APM-hyp
216,APM-hyp_4,37,9,19,1.9,59,116,,,,,,,APM-hyp
217,APM-hyp_4,38,9,23,2.3,94,243,,,,,,,APM-hyp
218,APM-hyp_4,39,9,28,2.8,295,146,186.0,150.0,,,,,APM-hyp
219,APM-hyp_4,40,9,31,3.1,130,296,,,,,,,APM-hyp
220,APM-hyp_4,41,9,26,2.6,204,73,,,,,,,APM-hyp
221,APM-hyp_4,42,9,31,3.1,194,77,,,,,,,APM-hyp
222,APM-hyp_4,43,9,20,2.0,56,193,,,,,,,APM-hyp
223,APM-hyp_4,44,9,19,1.9,97,68,,,,,,,APM-hyp
224,APM-hyp_4,45,9,25,2.5,297,146,209.0,287.0,,,,,APM-hyp
225,APM-hyp_4,46,9,28,2.8,217,272,,,,,,,APM-hyp
226,APM-hyp_4,47,9,9,0.9,256,3,,,,,,,APM-hyp
227,APM-hyp_4,48,9,19,1.9,106,238,,,,,,,APM-hyp
228,APM-hyp_4,49,9,35,3.5,286,95,183.0,130.0,,,,,APM-hyp
229,APM-hyp_4,50,9,25,2.5,157,128,276.0,246.0,,,,,APM-hyp
230,APM-hyp_4,51,9,25,2.5,154,173,,,,,,,APM-hyp
231,APM-hyp_4,52,9,20,2.0,287,221,,,,,,,APM-hyp
232,APM-hyp_4,53,9,25,2.5,153,117,240.0,5.0,,,,,APM-hyp
233,APM-hyp_4,54,9,20,2.0,206,267,,,,,,,APM-hyp
234,APM-hyp_4,55,9,25,2.5,88,122,,,,,,,APM-hyp
235,APM-hyp_4,56,9,19,1.9,143,156,,,,,,,APM-hyp
236,APM-hyp_4,57,9,23,2.3,264,4,,,,,,,APM-hyp
237,APM-hyp_4,58,9,41,4.1,297,36,,,,,,,APM-hyp
238,APM-hyp_4,59,9,19,1.9,141,161,,,,,,,APM-hyp
239,APM-hyp_4,60,9,21,2.1,142,177,,,,,,,APM-hyp
0,APM_1,1,9,14,1.4,63,119,,,,,,,APM
1,APM_1,2,9,31,3.1,185,294,,,,,,,APM
2,APM_1,3,9,55,5.5,157,95,,,,,,,APM
3,APM_1,4,9,34,3.4,253,130,,,,,,,APM
4,APM_1,5,9,41,4.1,225,168,,,,,,,APM
5,APM_1,6,9,13,1.3,270,96,,,,,,,APM
6,APM_1,7,9,15,1.5,57,120,,,,,,,APM
7,APM_1,8,9,43,4.3,26,237,,,,,,,APM
8,APM_1,9,9,23,2.3,14,296,,,,,,,APM
9,APM_1,10,9,44,4.4,139,133,,,,,,,APM
10,APM_1,11,9,51,5.1,64,123,,,,,,,APM
11,APM_1,12,9,31,3.1,225,143,,,,,,,APM
12,APM_1,13,9,35,3.5,209,134,,,,,,,APM
13,APM_1,14,9,27,2.7,90,188,,,,,,,APM
14,APM_1,15,9,60,6.0,244,141,,,,,,,APM
15,APM_1,16,9,20,2.0,208,113,,,,,,,APM
16,APM_1,17,9,26,2.6,15,29,,,,,,,APM
17,APM_1,18,9,27,2.7,212,145,,,,,,,APM
18,APM_1,19,9,11,1.1,215,139,,,,,,,APM
19,APM_1,20,9,28,2.8,18,35,,,,,,,APM
20,APM_1,21,9,39,3.9,32,40,,,,,,,APM
21,APM_1,22,9,19,1.9,136,291,,,,,,,APM
22,APM_1,23,9,16,1.6,222,136,,,,,,,APM
23,APM_1,24,9,13,1.3,221,169,,,,,,,APM
24,APM_1,25,9,25,2.5,93,217,183.0,188.0,,,,,APM
25,APM_1,26,9,20,2.0,155,277,,,,,,,APM
26,APM_1,27,9,37,3.7,299,233,,,,,,,APM
27,APM_1,28,9,19,1.9,153,291,,,,,,,APM
28,APM_1,29,9,19,1.9,213,149,,,,,,,APM
29,APM_1,30,9,44,4.4,3,34,,,,,,,APM
30,APM_1,31,9,20,2.0,212,141,,,,,,,APM
31,APM_1,32,9,15,1.5,137,212,229.0,142.0,,,,,APM
32,APM_1,33,9,15,1.5,184,285,,,,,,,APM
33,APM_1,34,9,25,2.5,233,117,,,,,,,APM
34,APM_1,35,9,37,3.7,167,294,,,,,,,APM
35,APM_1,36,9,15,1.5,17,4,,,,,,,APM
36,APM_1,37,9,35,3.5,66,150,,,,,,,APM
37,APM_1,38,9,28,2.8,84,216,,,,,,,APM
38,APM_1,39,9,52,5.2,19,289,76.0,123.0,,,,,APM
39,APM_1,40,9,27,2.7,37,5,,,,,,,APM
40,APM_1,41,9,32,3.2,8,35,,,,,,,APM
41,APM_1,42,9,22,2.2,23,255,,,,,,,APM
42,APM_1,43,9,31,3.1,227,142,,,,,,,APM
43,APM_1,44,9,16,1.6,63,126,,,,,,,APM
44,APM_1,45,9,31,3.1,240,132,,,,,,,APM
45,APM_1,46,9,25,2.5,295,269,,,,,,,APM
46,APM_1,47,9,13,1.3,248,121,,,,,,,APM
47,APM_1,48,9,29,2.9,220,141,,,,,,,APM
48,APM_1,49,9,22,2.2,195,2,,,,,,,APM
49,APM_1,50,9,33,3.3,215,149,,,,,,,APM
50,APM_1,51,9,19,1.9,13,25,,,,,,,APM
51,APM_1,52,9,26,2.6,31,32,,,,,,,APM
52,APM_1,53,9,25,2.5,89,225,,,,,,,APM
53,APM_1,54,9,13,1.3,183,293,,,,,,,APM
54,APM_1,55,9,15,1.5,20,9,,,,,,,APM
55,APM_1,56,9,21,2.1,74,120,,,,,,,APM
56,APM_1,57,9,33,3.3,245,112,,,,,,,APM
57,APM_1,58,9,19,1.9,241,117,,,,,,,APM
58,APM_1,59,9,25,2.5,148,266,,,,,,,APM
59,APM_1,60,9,25,2.5,26,32,,,,,,,APM
60,APM_2,1,9,25,2.5,253,269,,,,,,,APM
61,APM_2,2,9,19,1.9,270,277,,,,,,,APM
62,APM_2,3,9,11,1.1,274,267,,,,,,,APM
63,APM_2,4,9,40,4.0,54,149,,,,,,,APM
64,APM_2,5,9,31,3.1,114,296,,,,,,,APM
65,APM_2,6,9,25,2.5,204,48,,,,,,,APM
66,APM_2,7,9,23,2.3,203,44,224.0,238.0,,,,,APM
67,APM_2,8,9,56,5.6,284,268,62.0,287.0,,,,,APM
68,APM_2,9,9,14,1.4,164,73,,,,,,,APM
69,APM_2,10,9,37,3.7,91,33,,,,,,,APM
70,APM_2,11,9,8,0.8,252,250,,,,,,,APM
71,APM_2,12,9,37,3.7,124,176,,,,,,,APM
72,APM_2,13,9,34,3.4,3,294,,,,,,,APM
73,APM_2,14,9,26,2.6,237,242,,,,,,,APM
74,APM_2,15,9,14,1.4,264,274,,,,,,,APM
75,APM_2,16,9,47,4.7,60,287,,,,,,,APM
76,APM_2,17,9,25,2.5,163,100,,,,,,,APM
77,APM_2,18,9,19,1.9,232,244,,,,,,,APM
78,APM_2,19,9,37,3.7,232,246,,,,,,,APM
79,APM_2,20,9,17,1.7,255,270,,,,,,,APM
80,APM_2,21,9,22,2.2,258,285,,,,,,,APM
81,APM_2,22,9,56,5.6,63,5,234.0,223.0,,,,,APM
82,APM_2,23,9,25,2.5,276,277,,,,,,,APM
83,APM_2,24,9,19,1.9,9,154,,,,,,,APM
84,APM_2,25,9,27,2.7,270,267,,,,,,,APM
85,APM_2,26,9,59,5.9,244,265,,,,,,,APM
86,APM_2,27,9,47,4.7,265,260,,,,,,,APM
87,APM_2,28,9,37,3.7,122,128,,,,,,,APM
88,APM_2,29,9,44,4.4,276,273,,,,,,,APM
89,APM_2,30,9,43,4.3,128,67,,,,,,,APM
90,APM_2,31,9,31,3.1,258,275,,,,,,,APM
91,APM_2,32,9,19,1.9,280,247,,,,,,,APM
92,APM_2,33,9,43,4.3,247,208,,,,,,,APM
93,APM_2,34,9,25,2.5,227,239,,,,,,,APM
94,APM_2,35,9,13,1.3,58,291,,,,,,,APM
95,APM_2,36,9,15,1.5,238,227,,,,,,,APM
96,APM_2,37,9,33,3.3,33,4,,,,,,,APM
97,APM_2,38,9,44,4.4,207,66,,,,,,,APM
98,APM_2,39,9,34,3.4,238,244,,,,,,,APM
99,APM_2,40,9,34,3.4,254,263,,,,,,,APM
100,APM_2,41,9,14,1.4,271,265,,,,,,,APM
101,APM_2,42,9,25,2.5,277,273,,,,,,,APM
102,APM_2,43,9,33,3.3,271,225,,,,,,,APM
103,APM_2,44,9,82,8.2,272,256,,,,,,,APM
104,APM_2,45,9,33,3.3,229,251,,,,,,,APM
105,APM_2,46,9,32,3.2,272,274,,,,,,,APM
106,APM_2,47,9,49,4.9,66,207,,,,,,,APM
107,APM_2,48,9,13,1.3,285,293,,,,,,,APM
108,APM_2,49,9,67,6.7,291,265,,,,,,,APM
109,APM_2,50,9,24,2.4,274,271,,,,,,,APM
110,APM_2,51,9,16,1.6,275,270,,,,,,,APM
111,APM_2,52,9,23,2.3,259,274,,,,,,,APM
112,APM_2,53,9,55,5.5,263,261,287.0,2.0,,,,,APM
113,APM_2,54,9,31,3.1,267,198,273.0,267.0,,,,,APM
114,APM_2,55,9,40,4.0,284,269,,,,,,,APM
115,APM_2,56,9,26,2.6,34,234,,,,,,,APM
116,APM_2,57,9,19,1.9,261,258,,,,,,,APM
117,APM_2,58,9,49,4.9,260,207,,,,,,,APM
118,APM_2,59,9,38,3.8,248,231,,,,,,,APM
119,APM_2,60,9,26,2.6,200,118,,,,,,,APM
120,APM_3,1,9,40,4.0,217,5,,,,,,,APM
121,APM_3,2,9,51,5.1,235,253,,,,,,,APM
122,APM_3,3,9,25,2.5,65,80,,,,,,,APM
123,APM_3,4,9,25,2.5,290,36,,,,,,,APM
124,APM_3,5,9,17,1.7,249,269,,,,,,,APM
125,APM_3,6,9,43,4.3,207,24,,,,,,,APM
126,APM_3,7,9,20,2.0,254,262,,,,,,,APM
127,APM_3,8,9,55,5.5,52,137,,,,,,,APM
128,APM_3,9,9,14,1.4,49,269,,,,,,,APM
129,APM_3,10,9,31,3.1,14,253,,,,,,,APM
130,APM_3,11,9,32,3.2,5,66,,,,,,,APM
131,APM_3,12,9,31,3.1,96,297,,,,,,,APM
132,APM_3,13,9,43,4.3,25,234,,,,,,,APM
133,APM_3,14,9,71,7.1,73,289,,,,,,,APM
134,APM_3,15,9,21,2.1,290,110,,,,,,,APM
135,APM_3,16,9,77,7.7,41,240,,,,,,,APM
136,APM_3,17,9,56,5.6,297,122,,,,,,,APM
137,APM_3,18,9,47,4.7,219,37,,,,,,,APM
138,APM_3,19,9,64,6.4,23,261,,,,,,,APM
139,APM_3,20,9,37,3.7,32,246,27.0,242.0,,,,,APM
140,APM_3,21,9,32,3.2,295,117,,,,,,,APM
