,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
156,280,150,,36.44199198,0.003372891474,71.16683871,0.2969573523
157,270,300,,32.96298476,0.01103162273,59.18385866,0.1458268427
158,110,200,,31.41894065,0.006421355348,84.60758008,0.2161693664
159,40,200,,31.27120362,-0.006769547476,64.36137608,0.1622993894
160,240,80,,35.2078179,-0.0284926078,65.14384429,0.2734152172
161,40,180,,32.39246526,0.0005697332125,65.07253194,0.1098269885
162,260,300,,35.50463249,0.01014300719,75.79848978,0.1407075866
163,110,190,,33.52538249,-0.01379306981,53.60498162,0.1891672104
164,280,70,,36.57221769,0.00367445831,81.5361163,0.173348142
165,70,170,,35.10176047,0.006271734078,61.87887549,0.2419361486
166,100,230,,34.19401378,-0.004583105842,66.27548951,0.1757879513
167,40,170,,34.08194473,0.006357286871,86.87735475,0.1905266378
168,250,70,,34.60991278,-0.009442923251,68.06628872,0.2235248345
169,50,310,,33.90227878,0.01285084544,57.44784868,0.2017593432
170,230,80,,36.12842859,0.005284717727,65.04242719,0.2111752533
171,240,170,,37.18239009,0.0150931803,53.09744085,0.2276996895
172,250,180,,31.32515543,0.01525087713,86.20424813,0.1854240562
173,10,170,,29.00298122,-0.06143966321,67.66174138,0.09560129753
174,150,80,,33.64706593,0.0006910712025,71.66166664,0.2368085056
175,290,180,,35.93880146,0.00777283411,78.76063836,0.2389753188
176,170,170,,35.36676944,-0.003786676176,88.32750806,0.2005131343
177,260,170,,34.15090082,0.0003309393136,76.26363239,0.2338127589
178,230,130,,32.1706384,0.02628292718,58.06516771,0.2000445616
179,200,110,,37.43398256,0.009339974609,63.87518781,0.3065260934
180,260,30,,33.80370818,-0.004647370829,84.56626478,0.2265172711
181,30,200,,37.1314803,-0.005771223006,92.86255464,0.2542959688
182,230,110,,33.63569522,-0.01208716842,69.92197825,0.1791525263
183,190,100,,35.79216008,0.008029395196,68.52126191,0.2609542119
184,160,120,,38.12972468,-0.03925518526,71.01435656,0.1991343103
185,220,190,,34.84077362,-0.008727633374,53.53912598,0.2347395727
186,0,20,,33.48836381,2.15e-05,74.72828047,0.1851466493
187,210,210,,35.9626534,-0.009135122993,54.15592296,0.1665322731
188,180,260,,37.4917464,-0.02741885378,80.54861094,0.3638700883
189,80,110,,34.85100986,-0.007991939261,84.04215986,0.2000963227
190,190,240,,32.39411382,0.01177155889,66.09463273,0.1838819466
191,210,220,,34.43194867,0.03278762899,79.66966016,0.1968107744
192,160,220,,32.75286167,-0.003778987285,63.59212144,0.1744858874
193,310,230,,36.78255134,-0.006866906748,93.39257117,0.2348103246
194,120,110,,33.688276,-0.02451046229,63.13133257,0.2033780006
195,30,170,,33.95916099,-0.01782369754,91.69538413,0.1640851554
196,30,210,,35.74613137,0.003936255313,59.46617121,0.2114006278
197,150,180,,33.70212497,-0.002819366049,46.00840796,0.2176184335
198,250,100,,35.68685566,0.01444242359,64.4037493,0.1775927641
199,120,300,,36.40776336,-0.001496519747,77.92719445,0.155706451
200,280,300,,35.85378104,-0.02539658446,53.82461741,0.1462523364
201,50,160,,35.77039534,-0.01424780028,82.30616176,0.1863521088
202,170,50,,33.59801467,-0.03547597932,67.90597159,0.2644268402
203,290,70,,35.55363541,-0.01141259304,77.44410574,0.2153537242
204,170,200,,34.10065674,0.01676874548,61.64878826,0.2362575416
205,160,140,,37.12035439,-0.006163306963,71.62756911,0.3021472651
206,40,90,,38.67947424,-0.007059157452,64.79446471,0.2506173154
207,0,100,,30.32656929,-0.0165745467,85.04404478,0.1591362711
208,130,20,,31.2932751,-0.0235253758,85.60246608,0.1689362119
209,110,220,,36.145423,0.01216029211,69.02168674,0.2282820967
210,280,190,,35.13604543,0.007309150101,76.5161562,0.2327733422
211,180,240,,33.94865474,-0.01496731183,55.62881446,0.190534754
212,130,0,,35.92019019,0.01211900359,73.61322764,0.1490559297
213,20,310,,35.75659777,-0.0217192794,87.83688303,0.220675096
214,200,140,,36.45666738,0.0001105376371,57.98570226,0.2987961314
215,280,270,,35.93660478,-0.003271042702,88.81775533,0.1904687882
216,80,210,,34.05339539,-0.0001825659532,85.31883108,0.2444675835
217,220,230,,37.61564366,0.01571772026,82.15087731,0.207386757
218,280,230,,38.04707148,0.01130315049,85.64763764,0.2116538383
219,280,80,,34.17654814,0.002978099531,74.41437166,0.1295518907
220,10,280,,34.82803381,-0.002240575564,75.87579463,0.2111508803
221,130,300,,37.74839508,0.009259096477,85.78324163,0.183035247
222,0,0,,35.82219652,0.03429692267,81.53829114,0.1107964389
223,260,160,,35.11967948,-0.000202769751,80.37207192,0.217366796
224,20,100,,32.08168567,-0.0003505590343,66.71503047,0.1629970659
